mode,trade_datetime,open,high,low,close,volume,dividend
total_return,2020-08-18,458.29398470019123,464.85606929913376,456.89140173247836,463.10284058949264,25067180,
total_return,2020-08-19,464.8260139498256,469.5046299921251,463.30320958488016,463.68391067611657,35241167,
total_return,2020-08-20,463.854224322196,474.433707278659,463.8041320733491,473.9728585892676,30543687,
total_return,2020-08-21,478.94200967487905,500.3915106311171,477.8399802002475,498.3978391270109,80578252,
total_return,2020-08-24,516.0603660704242,516.0904214197323,496.66464731690854,504.35881673979077,82141732,
total_return,2020-08-25,499.7202744965688,501.63379840252,493.1181160985488,500.2211969850377,50783015,
total_return,2020-08-26,505.9116764540443,508.9071929350883,501.2731342108224,507.02372437844525,39216373,
total_return,2020-08-27,509.43817077286536,510.88082753965574,496.2739277759028,500.96256226797163,37393655,
total_return,2020-08-28,504.9298683766453,506.70313398582516,499.22937045786927,500.15106783665203,44260263,
total_return,2020-08-31,511.62219282258974,524.9667679154011,505.93171335358306,517.1123032962088,52562418,
total_return,2020-09-01,532.6208635392057,540.1948115648554,523.083299358758,537.7102360220497,35821071,
